hospital_id,mort30ami_br,mort30ami_pr,mort30ami_ap,mort30ami_ip,mort30ami_ms,mort30hf_br,mort30hf_pr,mort30hf_ap,mort30hf_ip,mort30hf_ms,mort30pn_br,mort30pn_pr,mort30pn_ap,mort30pn_ip,mort30pn_ms
10001,0.850186,0.86627,7 out of 10,7 out of 9,7 out of 10,0.88806,0.885519,1 out of 10,0 out of 9,1 out of 10,0.877181,0.893777,4 out of 10,5 out of 9,5 out of 10
10005,0.836946,0.85728,3 out of 10,5 out of 9,5 out of 10,0.853765,0.845956,0 out of 10,0 out of 9,0 out of 10,0.85852,0.851953,0 out of 10,0 out of 9,0 out of 10
10006,0.818278,0.843841,0 out of 10,4 out of 9,4 out of 10,0.884408,0.865407,0 out of 10,0 out of 9,0 out of 10,0.848835,0.872522,0 out of 10,4 out of 9,4 out of 10
10007,0.84393,0.867181,7 out of 10,Not Available,7 out of 10,0.863976,0.854747,0 out of 10,0 out of 9,0 out of 10,0.836245,0.849107,0 out of 10,1 out of 9,1 out of 10
10011,0.83408,0.863407,6 out of 10,7 out of 9,7 out of 10,0.889867,0.873002,0 out of 10,0 out of 9,0 out of 10,0.823954,0.883768,1 out of 10,7 out of 9,7 out of 10
10012,0.840641,0.842346,0 out of 10,0 out of 9,0 out of 10,0.840398,0.868469,0 out of 10,4 out of 9,4 out of 10,0.843534,0.834758,0 out of 10,0 out of 9,0 out of 10
10016,0.854265,0.839738,0 out of 10,0 out of 9,0 out of 10,0.871128,0.87112,0 out of 10,0 out of 9,0 out of 10,0.859767,0.906255,9 out of 10,9 out of 9,9 out of 10
10019,0.835137,0.857433,3 out of 10,5 out of 9,5 out of 10,0.875727,0.864715,0 out of 10,0 out of 9,0 out of 10,0.854612,0.88992,3 out of 10,6 out of 9,6 out of 10
10021,0.837658,0.863527,Not Available,Not Available,Not Available,0.887443,0.876979,0 out of 10,0 out of 9,0 out of 10,0.888682,0.890432,3 out of 10,0 out of 9,3 out of 10
10022,0.849462,0.863643,Not Available,Not Available,Not Available,0.886973,0.870313,0 out of 10,0 out of 9,0 out of 10,0.870644,0.88175,0 out of 10,2 out of 9,2 out of 10
10023,0.824197,0.869442,8 out of 10,9 out of 9,9 out of 10,0.898243,0.883788,1 out of 10,0 out of 9,1 out of 10,0.855686,0.880721,0 out of 10,4 out of 9,4 out of 10
10024,0.828536,0.855396,2 out of 10,6 out of 9,6 out of 10,0.891959,0.882553,0 out of 10,0 out of 9,0 out of 10,0.825506,0.850636,0 out of 10,3 out of 9,3 out of 10
10029,0.832919,0.830242,0 out of 10,0 out of 9,0 out of 10,0.887514,0.874465,0 out of 10,0 out of 9,0 out of 10,0.874136,0.880827,0 out of 10,1 out of 9,1 out of 10
10033,0.848594,0.884452,10 out of 10,9 out of 9,10 out of 10,0.877256,0.911588,10 out of 10,9 out of 9,10 out of 10,0.873853,0.901316,7 out of 10,8 out of 9,8 out of 10
10034,0.845064,0.870679,Not Available,Not Available,Not Available,0.881075,0.902331,8 out of 10,7 out of 9,8 out of 10,0.882897,0.911354,10 out of 10,9 out of 9,10 out of 10
10035,0.849041,0.854001,2 out of 10,2 out of 9,2 out of 10,0.86383,0.877077,0 out of 10,3 out of 9,3 out of 10,0.881617,0.885767,2 out of 10,1 out of 9,2 out of 10
10036,0.851695,0.86457,6 out of 10,Not Available,6 out of 10,0.882908,0.89697,6 out of 10,5 out of 9,6 out of 10,0.885681,0.892425,4 out of 10,3 out of 9,4 out of 10
10038,0.837953,0.873113,10 out of 10,9 out of 9,10 out of 10,0.877591,0.880068,0 out of 10,0 out of 9,0 out of 10,0.879231,0.904418,8 out of 10,8 out of 9,8 out of 10
10039,0.850402,0.865832,7 out of 10,6 out of 9,7 out of 10,0.876725,0.879032,0 out of 10,0 out of 9,0 out of 10,0.87375,0.886499,2 out of 10,3 out of 9,3 out of 10
10040,0.835674,0.852059,1 out of 10,4 out of 9,4 out of 10,0.889876,0.873248,0 out of 10,0 out of 9,0 out of 10,0.846319,0.883248,1 out of 10,5 out of 9,5 out of 10
