hospital_id,mspb1_br,mspb1_pr,mspb1_ap,mspb1_ip,mspb1_ms
10001,0.979005,0.993364,0 out of 10,0 out of 9,0 out of 10
10005,0.97526,0.998265,0 out of 10,0 out of 9,0 out of 10
10006,0.954461,0.996683,0 out of 10,0 out of 9,0 out of 10
10007,1.065313,1.055298,0 out of 10,0 out of 9,0 out of 10
10011,0.990596,1.028212,0 out of 10,0 out of 9,0 out of 10
10012,1.056177,0.974404,1 out of 10,3 out of 9,3 out of 10
10016,1.002976,1.026836,0 out of 10,0 out of 9,0 out of 10
10019,1.042492,1.110292,0 out of 10,0 out of 9,0 out of 10
10021,0.960049,0.951596,3 out of 10,0 out of 9,3 out of 10
10022,0.985742,0.928177,4 out of 10,3 out of 9,4 out of 10
10023,1.010761,1.019054,0 out of 10,0 out of 9,0 out of 10
10024,1.032672,1.031113,0 out of 10,0 out of 9,0 out of 10
10029,0.886671,0.917403,5 out of 10,0 out of 9,5 out of 10
10033,0.971372,0.967137,2 out of 10,0 out of 9,2 out of 10
10034,0.88182,0.929878,4 out of 10,0 out of 9,4 out of 10
10035,0.950361,0.961948,2 out of 10,0 out of 9,2 out of 10
10036,0.929952,0.926426,4 out of 10,0 out of 9,4 out of 10
10038,0.955061,0.977767,1 out of 10,0 out of 9,1 out of 10
10039,0.99679,1.005735,0 out of 10,0 out of 9,0 out of 10
10040,1.027347,1.043336,0 out of 10,0 out of 9,0 out of 10
10044,0.887316,0.896746,6 out of 10,0 out of 9,6 out of 10
10045,0.9426,0.923552,4 out of 10,1 out of 9,4 out of 10
10046,1.036575,0.91875,4 out of 10,5 out of 9,5 out of 10
10049,0.987801,1.038634,0 out of 10,0 out of 9,0 out of 10
10055,0.992945,1.025085,0 out of 10,0 out of 9,0 out of 10
10056,1.020354,1.026772,0 out of 10,0 out of 9,0 out of 10
10059,0.911717,0.995245,0 out of 10,0 out of 9,0 out of 10
10061,0.934722,0.988004,0 out of 10,0 out of 9,0 out of 10
10062,0.978467,1.010763,0 out of 10,0 out of 9,0 out of 10
10065,0.992357,0.977498,1 out of 10,0 out of 9,1 out of 10
10069,0.923669,0.923554,4 out of 10,0 out of 9,4 out of 10
10073,0.979194,0.972676,1 out of 10,0 out of 9,1 out of 10
10078,0.981114,1.024099,0 out of 10,0 out of 9,0 out of 10
10079,0.962291,0.959742,2 out of 10,0 out of 9,2 out of 10
10083,0.956762,0.986231,0 out of 10,0 out of 9,0 out of 10
10085,0.966854,0.999054,0 out of 10,0 out of 9,0 out of 10
10086,1.000948,0.99574,0 out of 10,0 out of 9,0 out of 10
10087,0.977468,0.94088,3 out of 10,2 out of 9,3 out of 10
10089,0.996702,0.977069,1 out of 10,1 out of 9,1 out of 10
10090,0.977093,0.992094,0 out of 10,0 out of 9,0 out of 10
10091,1.059414,0.835217,9 out of 10,9 out of 9,9 out of 10
10092,0.998692,1.003496,0 out of 10,0 out of 9,0 out of 10
10097,1.067086,1.027708,0 out of 10,1 out of 9,1 out of 10
10099,1.088026,0.994633,0 out of 10,3 out of 9,3 out of 10
10100,0.954233,0.938835,3 out of 10,1 out of 9,3 out of 10
10101,0.984776,0.959906,2 out of 10,1 out of 9,2 out of 10
10103,0.994756,1.003104,0 out of 10,0 out of 9,0 out of 10
10104,1.0146,1.020181,0 out of 10,0 out of 9,0 out of 10
10108,0.915927,0.928804,4 out of 10,0 out of 9,4 out of 10
10112,0.984478,1.05732,0 out of 10,0 out of 9,0 out of 10
10113,0.98271,0.976259,1 out of 10,0 out of 9,1 out of 10
10114,0.976066,1.004491,0 out of 10,0 out of 9,0 out of 10
10118,0.978827,0.93404,4 out of 10,3 out of 9,4 out of 10
10120,0.973804,0.936197,3 out of 10,2 out of 9,3 out of 10
10125,0.903285,0.969989,1 out of 10,0 out of 9,1 out of 10
10126,0.98776,0.957212,2 out of 10,1 out of 9,2 out of 10
10128,0.834558,0.890218,6 out of 10,0 out of 9,6 out of 10
10129,0.95642,0.897691,6 out of 10,4 out of 9,6 out of 10
