pn,un_cc_ds,wn_cc_ds,u_pacceoc/cc_ds,w_pacceoc/cc_ds,un_s_ds,w_s_ds,un_eacr_ds,w_eacr_ds,tps
10001,43.33333333,10.83333333,26,6.5,72.85714286,18.21428571,0,0,35.54761905
10005,16.66666667,4.166666667,36,9,81.42857143,20.35714286,0,0,33.52380952
10006,26.66666667,6.666666667,17,4.25,47.14285714,11.78571429,0,0,22.70238095
10007,26.66666667,8.888888889,56,18.66666667,Not Available,Not Available,0,0,27.55555556
10011,46.66666667,11.66666667,25,6.25,42.85714286,10.71428571,0,0,28.63095238
10012,13.33333333,3.333333333,25,6.25,67.5,16.875,30,7.5,33.95833333
10016,30,7.5,19,4.75,57.14285714,14.28571429,0,0,26.53571429
10019,36.66666667,9.166666667,35,8.75,54.28571429,13.57142857,0,0,31.48809524
10021,15,5,64,21.33333333,Not Available,Not Available,30,10,36.33333333
10022,10,3.333333333,53,17.66666667,Not Available,Not Available,40,13.33333333,34.33333333
10023,46.66666667,11.66666667,23,5.75,47.14285714,11.78571429,0,0,29.20238095
10024,30,7.5,30,7.5,40,10,0,0,25
10029,3.333333333,0.833333333,43,10.75,54.28571429,13.57142857,50,12.5,37.6547619
10033,93.33333333,23.33333333,57,14.25,35.71428571,8.928571429,20,5,51.51190476
10034,90,30,45,15,Not Available,Not Available,40,13.33333333,58.33333333
10035,23.33333333,5.833333333,27,6.75,75.71428571,18.92857143,20,5,36.51190476
10036,53.33333333,13.33333333,30,7.5,80,20,40,10,50.83333333
10038,60,15,27,6.75,73.33333333,18.33333333,10,2.5,42.58333333
10039,33.33333333,8.333333333,33,8.25,40,10,0,0,26.58333333
10040,30,7.5,19,4.75,58.57142857,14.64285714,0,0,26.89285714
10044,75,25,87,29,Not Available,Not Available,60,20,74
10045,55,18.33333333,89,29.66666667,Not Available,Not Available,40,13.33333333,61.33333333
10046,76.66666667,19.16666667,19,4.75,43.33333333,10.83333333,50,12.5,47.25
10049,15,3.75,23,5.75,92.5,23.125,0,0,32.625
10055,20,5,41,10.25,65.71428571,16.42857143,0,0,31.67857143
10056,50,12.5,54,13.5,24.28571429,6.071428571,0,0,32.07142857
10059,45,15,45,15,Not Available,Not Available,0,0,30
10061,20,5,34,8.5,67.5,16.875,0,0,30.375
10062,25,8.333333333,46,15.33333333,Not Available,Not Available,0,0,23.66666667
10065,40,10,59,14.75,52.5,13.125,10,2.5,40.375
10069,60,20,51,17,Not Available,Not Available,40,13.33333333,50.33333333
10073,0,0,51,17,Not Available,Not Available,10,3.333333333,20.33333333
10078,46.66666667,11.66666667,26,6.5,41.42857143,10.35714286,0,0,28.52380952
10079,10,2.5,26,6.5,46,11.5,20,5,25.5
10083,63.33333333,15.83333333,56,14,51.42857143,12.85714286,0,0,42.69047619
10085,20,5,24,6,71.42857143,17.85714286,0,0,28.85714286
10086,30,10,64,21.33333333,Not Available,Not Available,0,0,31.33333333
10087,Not Available,Not Available,53,17.66666667,26.66666667,8.888888889,30,10,36.55555556
10089,30,7.5,36,9,58.33333333,14.58333333,10,2.5,33.58333333
10090,13.33333333,3.333333333,24,6,57.14285714,14.28571429,0,0,23.61904762
10091,30,7.5,60,15,66.66666667,16.66666667,90,22.5,61.66666667
10092,0,0,22,5.5,34.28571429,8.571428571,0,0,14.07142857
