hospital_id,psi90_br,psi90_pr,psi90_ap,psi90_ip,psi90_ms,hai1_br,hai1_pr,hai1_ap,hai1_ip,hai1_ms,hai2_br,hai2_pr,hai2_ap,hai2_ip,hai2_ms,Combined_SSI_Msr,hai3_br,hai3_pr,hai3_ap,hai3_ip,hai3_ms,hai4_br,hai4_pr,hai4_ap,hai4_ip,hai4_ms,hai5_br,hai5_pr,hai5_ap,hai5_ip,hai5_ms,hai6_br,hai6_pr,hai6_ap,hai6_ip,hai6_ms,pc01_br,pc01_pr,pc01_ap,pc01_ip,pc01_ms
10001,1.009846,0.656456,10 out of 10,9 out of 9,10 out of 10,2.952,0.884,0 out of 10,7 out of 9,7 out of 10,3.645,0.361,6 out of 10,9 out of 9,9 out of 10,7 out of 10,0.664,0.367,5 out of 10,4 out of 9,5 out of 10,Not Available,0,10 out of 10,Not Available,10 out of 10,1.198,1.07,0 out of 10,1 out of 9,1 out of 10,1.126,0.334,6 out of 10,7 out of 9,7 out of 10,0,0,10 out of 10,0 out of 9,10 out of 10
10005,0.79833,0.726932,9 out of 10,8 out of 9,9 out of 10,3.063,0,10 out of 10,9 out of 9,10 out of 10,0.522,0.503,5 out of 10,0 out of 9,5 out of 10,10 out of 10,0.325,0,10 out of 10,9 out of 9,10 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available,1.243,0.525,3 out of 10,5 out of 9,5 out of 10,0.316,0.055,9 out of 10,8 out of 9,9 out of 10,0.295858,0.021739,0 out of 10,9 out of 9,9 out of 10
10006,1.253606,0.665941,10 out of 10,9 out of 9,10 out of 10,0.233,0.95,0 out of 10,0 out of 9,0 out of 10,0.179,0.86,1 out of 10,0 out of 9,1 out of 10,7 out of 10,1.905,0.386,5 out of 10,7 out of 9,7 out of 10,0.852,Not Available,Not Available,Not Available,Not Available,1.701,2.106,0 out of 10,0 out of 9,0 out of 10,0.708,0.435,5 out of 10,3 out of 9,5 out of 10,0.027027,0,10 out of 10,9 out of 9,10 out of 10
10007,1.101822,0.582838,10 out of 10,9 out of 9,10 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10011,0.864237,0.814336,6 out of 10,3 out of 9,6 out of 10,0.466,0.921,0 out of 10,0 out of 9,0 out of 10,0.567,0.563,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0.649,0.517,4 out of 10,2 out of 9,4 out of 10,1.596,2.768,0 out of 10,0 out of 9,0 out of 10,0.926,0.584,3 out of 10,3 out of 9,3 out of 10,0.858,0.59,3 out of 10,3 out of 9,3 out of 10,0.058824,0,10 out of 10,9 out of 9,10 out of 10
10012,1.010369,0.577837,10 out of 10,9 out of 9,10 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,10 out of 10,0 out of 9,10 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.392,0.536,4 out of 10,0 out of 9,4 out of 10,0.202703,0.122449,0 out of 10,3 out of 9,3 out of 10
10016,0.974042,0.512905,10 out of 10,9 out of 9,10 out of 10,0.436,0.361,1 out of 10,1 out of 9,1 out of 10,0.649,0.418,5 out of 10,3 out of 9,5 out of 10,10 out of 10,0.489,0,10 out of 10,9 out of 9,10 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available,1.127,1.041,0 out of 10,0 out of 9,0 out of 10,0.641,0.458,4 out of 10,2 out of 9,4 out of 10,0.076923,0,10 out of 10,9 out of 9,10 out of 10
10019,0.973823,0.809746,6 out of 10,6 out of 9,6 out of 10,0,0,10 out of 10,0 out of 9,10 out of 10,0,0.497,5 out of 10,0 out of 9,5 out of 10,4 out of 10,0.443,0.515,4 out of 10,0 out of 9,4 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available,0.648,1.589,0 out of 10,0 out of 9,0 out of 10,1.011,0.259,7 out of 10,7 out of 9,7 out of 10,0.092593,0.029412,0 out of 10,6 out of 9,6 out of 10
10021,0.884154,0.710052,9 out of 10,9 out of 9,9 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.372,0,10 out of 10,9 out of 9,10 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available
10022,0.961293,0.623787,10 out of 10,9 out of 9,10 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,10 out of 10,0 out of 9,10 out of 10,Not Available,Not Available,Not Available,Not Available,Not Available
